CARLOS  MARUN  ,(PMDB-MS.),"Sr.  Presidente,  porque  confio  na inocência  do  Presidente  Temer,  porque  acredito  que  o  Presidente  Temer  está governando bem o Brasil e porque esse relatório nada consta em termos de prova que  realmente  comprometa  o  Presidente,  eu  voto  “sim”  ao  brilhante  relatório  do Deputado Paulo Abi-Ackel, do PSDB de Minas Gerais.",YES
DAGOBERTO NOGUEIRA ,(PDT-MS.),"Sr. Presidente, estou convicto de  que  houve  crime,  pelas  provas  robustas  do  processo  e  pelo  que  eu  vi  na imprensa nacional. Portanto, vou votar pela admissibilidade da investigação e “não” ao relatório.",NO
ELIZEU DIONIZIO ,(PSDB-MS.),"Voto “sim”, Sr. Presidente.",YES
GERALDO  RESENDE  ,(PSDB-MS.),"Sr.  Presidente,  acompanho  em seu  inteiro  teor  o  relatório,  votado  e  aprovado  pela  Comissão  de  Constituição  e Justiça e de Cidadania, do eminente Deputado Paulo Abi-Ackel.",YES
MANDETTA ,(DEM-MS.),"Voto “não”, Sr. Presidente.",NO
TEREZA CRISTINA ,(PSB-MS.),"Eu voto “sim”, Sr. Presidente.",YES
VANDER LOUBET ,(PT-MS.),"Sr. Presidente, o nosso voto é contra o relatório, a favor da investigação e contra a reforma da Previdência. Voto “não”.",NO
ZECA  DO  PT  ,(PT-MS.),"Sr.  Presidente,  o  meu  voto  é  “não”  ao relatório,  “não”  à  concessão  dada  ao  latifúndio,  “não”  às  reformas  e  “não”  ao entreguismo do território brasileiro a grupos internacionais. ",NO
ALFREDO  NASCIMENTO  ,(PR-AM.),"O  meu  voto  é  “sim”,  Sr. Presidente.",YES
ARTHUR  VIRGÍLIO  BISNETO  ,(PSDB-AM.),"Sr.  Presidente,  eu  não negociei  emenda,  muito  menos  tenho  cargos  no  Governo.  Acredito  que  o  Brasil precisa passar por reformas estruturantes que façam a máquina se modernizar e o País voltar a crescer com consistência. O País que olha para o futuro não troca de Presidente como se troca de roupa. O meu voto é “sim” ao relatório do brilhante Deputado Paulo Abi-Ackel.",YES
ÁTILA LINS ,(PSD-AM.),"Pela estabilidade do País, eu voto a favor do relatório do Deputado Paulo Abi-Ackel, do PSDB. Voto “sim”!",YES
